<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURRUB,D,20200202,000000,70.7880000,71.0350000,70.7790000,70.9006000,432
EURRUB,D,20200203,000000,70.9180000,70.9688000,70.0560000,70.3450000,106805
EURRUB,D,20200204,000000,70.3650000,70.4770000,69.3290000,69.4722000,110091
EURRUB,D,20200205,000000,69.4970000,69.8810000,68.8300000,69.0570000,106559
EURRUB,D,20200206,000000,69.0580000,69.7190000,68.7870000,69.4210000,107274
EURRUB,D,20200207,000000,69.5090000,70.4585000,69.3270000,70.2210000,110233
EURRUB,D,20200209,000000,70.1750000,70.4230000,69.9540000,70.0637000,427
EURRUB,D,20200210,000000,70.1978000,70.2650000,69.6455000,69.9040000,102237
EURRUB,D,20200211,000000,69.8239000,69.9660000,69.0020000,69.0629000,102795
EURRUB,D,20200212,000000,69.0730000,69.2060000,68.5421000,68.8283000,105171
EURRUB,D,20200213,000000,68.8253000,69.4140000,68.6247000,68.8112000,103377
EURRUB,D,20200214,000000,68.9585000,69.0220000,68.6347000,68.7860000,98323
EURRUB,D,20200216,000000,68.7460000,68.9820000,68.5475000,68.7886000,410
EURRUB,D,20200217,000000,68.7886000,69.1360000,68.4541000,68.8948000,78701
EURRUB,D,20200218,000000,68.8923000,69.4125000,68.6201000,68.9132000,96386
EURRUB,D,20200219,000000,68.7984000,69.0180000,68.4617000,68.7009000,101602
EURRUB,D,20200220,000000,68.6985000,69.3821000,68.5013000,69.1183000,107575
EURRUB,D,20200221,000000,69.1180000,69.9650000,69.0749000,69.5080000,113344
EURRUB,D,20200223,000000,69.4970000,69.7140000,68.6650000,69.6157000,1607
EURRUB,D,20200224,000000,69.6139000,71.2523000,69.5247000,70.9094000,83210
EURRUB,D,20200225,000000,70.9087000,71.2995000,70.1551000,71.0346000,95118
EURRUB,D,20200226,000000,70.9502000,71.5575000,70.5302000,71.2477000,104640
EURRUB,D,20200227,000000,71.1503000,73.0880000,71.1424000,72.9077000,88303
EURRUB,D,20200228,000000,72.8406000,74.7150000,72.6775000,73.5890000,95086
EURRUB,D,20200301,000000,73.7760000,74.2822000,73.6045000,74.1315000,368
EURRUB,D,20200302,000000,74.1167000,74.9950000,73.1978000,73.9230000,99245
EURRUB,D,20200303,000000,73.8000000,74.1780000,73.0135000,73.8615000,332142
EURRUB,D,20200304,000000,73.8622000,74.0591000,72.8260000,73.6611000,325489
EURRUB,D,20200305,000000,73.6611000,76.0290000,73.4053000,75.8025000,362811
EURRUB,D,20200306,000000,75.8354000,77.7877000,75.4231000,77.3600000,401451
EURRUB,D,20200308,000000,77.3630000,82.4030000,77.3530000,81.9479000,467
EURRUB,D,20200309,000000,81.9486000,86.4576000,81.7200000,84.9040000,9118
EURRUB,D,20200310,000000,84.8733000,85.1146000,79.8100000,80.6093000,304627
EURRUB,D,20200311,000000,80.6024000,82.5560000,79.9037000,81.6036000,252306
EURRUB,D,20200312,000000,82.0237000,84.8534000,81.3218000,83.8670000,283437
EURRUB,D,20200313,000000,83.7130000,83.9650000,79.9201000,80.4730000,307152
EURRUB,D,20200315,000000,81.0543000,82.3522000,79.8740000,81.6620000,744
EURRUB,D,20200316,000000,81.5390000,84.3361000,80.4910000,82.9010000,403222
EURRUB,D,20200317,000000,82.9220000,83.4870000,81.7269000,82.2890000,373840
EURRUB,D,20200318,000000,82.7800000,90.0944000,82.2300000,88.1785000,347107
